step,avg_ret,std_ret
25000,475.6956257847065,246.68249618661164
50000,347.4172591960192,302.1537631857115
75000,247.8335608038646,304.0175145312382
100000,363.24941022142514,350.0262582079508
125000,441.39682931049117,391.8046068425737
150000,514.8606414713825,404.552220372239
175000,646.2252462209277,409.85427669375355
200000,846.5551516172567,405.40985727942507
225000,1124.8407984687233,533.098734199434
250000,951.7467310357681,756.3794976144628
275000,1405.527738687697,683.0741089962763
300000,1012.7312695270184,695.4112608039275
325000,1109.6663003904569,986.2104732104641
350000,2189.14418490379,1220.9189039250184
375000,3185.105158577443,911.5002480826454
400000,2678.583818315272,1276.3029484331273
425000,2631.5569714919184,1523.5144044807316
450000,3658.5088488051756,1334.2866928736464
475000,3901.3223507536577,1140.9906511016932
500000,1907.8674846770039,1391.202609571235
525000,4118.230240945153,1306.0287897557566
550000,4076.7082372978743,1458.3870714449865
575000,4584.485903665964,1068.4111765768534
600000,4257.190534986166,1520.2439569169544
625000,4380.9864264741245,1408.0146766860923
650000,4377.889131808306,1228.8057670014364
675000,4819.283181898213,1335.2521500810974
700000,3944.020025912868,1557.3073796782526
725000,5325.907126661668,423.33316085615644
750000,5168.806500530563,625.5976808160842
775000,4950.860636755084,1415.1357085697618
800000,4769.857578664128,1313.1984906679104
825000,4902.291610766015,1087.4261786409495
850000,5345.905521773928,1240.7285178996542
875000,5544.230538871385,442.4080657380013
900000,4365.350797633515,1983.908170281307
925000,5390.150370442162,1059.7485957702497
950000,5353.924596738438,779.5055857931254
975000,5564.3416623217945,836.9816492295323
1000000,5354.204570653431,1231.843595997689
